mean_reward,std_reward,moving_avg_reward,win_rate,draw_rate,lose_rate,avg_remain,std_remain,avg_ep_len,std_ep_len,clip_fraction,value_loss,policy_loss,entropy_loss,approx_kl,learning_rate,rollout_ep_rew_mean,steps
10.693,29.805,10.693,45.0,17.0,38.0,4.99,1.863,19.75,2.82,0.0003509521484375,889.9433723449707,,-1.2527155252173543,0.0011239159,5e-05,,50000
7.291,28.754,7.291,44.0,18.0,38.0,5.04,1.673,19.72,2.51,0.00010986328125,935.3526594161988,,-1.2348011253401636,0.0011134027,5e-05,,100000
4.191,30.077,4.191,38.0,21.0,41.0,4.99,1.729,19.92,2.77,0.0006591796875,940.3675312042236,,-1.2164231387898325,0.0016343275,5e-05,,150000
5.192,31.9,5.192,49.0,20.0,31.0,4.77,1.684,20.13,2.68,0.0007537841796875,925.4429712295532,,-1.1947219792753458,0.0015264183,5e-05,,200000
