mean_reward,std_reward,moving_avg_reward,win_rate,draw_rate,lose_rate,avg_remain,std_remain,avg_ep_len,std_ep_len,clip_fraction,value_loss,policy_loss,entropy_loss,approx_kl,learning_rate,rollout_ep_rew_mean,steps
0.036,0.005,0.036,46.0,28.0,26.0,4.69,1.713,20.2,2.73,0.09031982421875,0.002249272685003234,,-1.5044384259730577,0.010622418,7e-05,,50000
0.038,0.006,0.038,40.0,29.0,31.0,4.58,1.756,20.81,2.84,0.052679443359375,0.0011075694805185777,,-1.4864446099847555,0.0076313526,7e-05,,100000
0.037,0.005,0.037,38.0,18.0,44.0,4.75,1.824,20.64,2.71,0.04920654296875,0.0006689839194223169,,-1.4659994907677174,0.00698053,7e-05,,150000
0.038,0.006,0.038,44.0,22.0,34.0,4.4,1.619,20.99,2.76,0.055859375,0.0004624043855983473,,-1.4317543379962445,0.0074372203,7e-05,,200000
