mean_reward,std_reward,moving_avg_reward,win_rate,draw_rate,lose_rate,avg_remain,std_remain,avg_ep_len,std_ep_len,clip_fraction,value_loss,policy_loss,entropy_loss,approx_kl,learning_rate,rollout_ep_rew_mean,steps
0.035,0.006,0.035,39.0,19.0,42.0,5.27,1.832,19.39,3.16,0.045806884765625,0.003423172666953178,,-1.4985848471522332,0.007669717,3e-05,,50000
0.037,0.005,0.037,37.0,19.0,44.0,4.71,1.651,20.71,2.65,0.031353759765625,0.0017517888838483487,,-1.4707473035901786,0.0063780053,3e-05,,100000
0.037,0.006,0.037,34.0,20.0,46.0,5.01,1.814,20.25,2.76,0.031097412109375,0.0011780692508182255,,-1.4682317100465299,0.006633604,3e-05,,150000
0.037,0.005,0.037,38.0,19.0,43.0,4.87,1.831,20.34,2.61,0.0258544921875,0.0008598678361522616,,-1.4537682916969061,0.0057944413,3e-05,,200000
