mean_reward,std_reward,moving_avg_reward,win_rate,draw_rate,lose_rate,avg_remain,std_remain,avg_ep_len,std_ep_len,clip_fraction,value_loss,policy_loss,entropy_loss,approx_kl,learning_rate,rollout_ep_rew_mean,steps
0.036,0.006,0.036,42.0,16.0,42.0,4.91,1.834,20.08,2.91,0.04234619140625,0.0032408707564172802,,-1.4996942568570375,0.0069222273,3e-05,,50000
0.036,0.005,0.036,44.0,21.0,35.0,5.02,1.778,19.86,2.67,0.040814208984375,0.0018774091680825223,,-1.4677282221615315,0.0071504894,3e-05,,100000
0.037,0.005,0.037,45.0,19.0,36.0,4.58,1.692,20.54,2.7,0.03497314453125,0.0011596733276746818,,-1.4604190327227116,0.006844774,3e-05,,150000
0.037,0.005,0.037,35.0,20.0,45.0,4.77,1.725,20.49,2.54,0.038787841796875,0.0008633295881736557,,-1.4498578902333974,0.006593167,3e-05,,200000
