mean_reward,std_reward,moving_avg_reward,win_rate,draw_rate,lose_rate,avg_remain,std_remain,avg_ep_len,std_ep_len,clip_fraction,value_loss,policy_loss,entropy_loss,approx_kl,learning_rate,rollout_ep_rew_mean,steps
0.993,30.511,0.993,39.0,26.0,35.0,4.65,1.751,20.45,2.69,0.0131103515625,567.0629514694214,,-1.5182109776884318,0.0047512488,5e-05,,50000
-1.31,30.242,-1.31,43.0,13.0,44.0,5.01,1.52,20.13,2.49,0.01158447265625,568.7961207389832,,-1.5090914454311133,0.004383831,5e-05,,100000
1.989,29.221,1.989,38.0,20.0,42.0,5.25,1.751,19.67,2.68,0.015496826171875,603.1057622909545,,-1.4883934140205384,0.004743771,5e-05,,150000
2.089,30.93,2.089,32.0,21.0,47.0,5.26,1.724,19.79,2.68,0.019110107421875,583.1757939338684,,-1.4794058054685593,0.005217556,5e-05,,200000
