mean_reward,std_reward,moving_avg_reward,win_rate,draw_rate,lose_rate,avg_remain,std_remain,avg_ep_len,std_ep_len,clip_fraction,value_loss,policy_loss,entropy_loss,approx_kl,learning_rate,rollout_ep_rew_mean,steps
0.036,0.005,0.036,36.0,24.0,40.0,5.08,1.521,20.03,2.57,0.054022216796875,0.003465829956257949,,-1.511998698487878,0.008007569,3e-05,,50000
0.037,0.005,0.037,44.0,22.0,34.0,4.55,1.802,20.74,2.72,0.02464599609375,0.0017886012497910996,,-1.4843370478600264,0.005353662,3e-05,,100000
0.034,0.005,0.034,45.0,16.0,39.0,5.29,1.728,19.12,2.72,0.02528076171875,0.0013044370960415108,,-1.4669172402471304,0.0056960937,3e-05,,150000
0.035,0.006,0.035,34.0,20.0,46.0,5.55,1.539,19.32,2.84,0.036834716796875,0.0009008048220493948,,-1.4339855592697859,0.0070233964,3e-05,,200000
