mean_reward,std_reward,moving_avg_reward,win_rate,draw_rate,lose_rate,avg_remain,std_remain,avg_ep_len,std_ep_len,clip_fraction,value_loss,policy_loss,entropy_loss,approx_kl,learning_rate,rollout_ep_rew_mean,steps
9.995,27.487,9.995,40.0,19.0,41.0,4.87,1.864,20.36,2.89,0.009552001953125,305.93420588970184,,-1.3301383219659328,0.003356995,5e-05,,50000
3.487,27.73,3.487,36.0,22.0,42.0,5.46,1.717,19.18,3.01,0.008758544921875,301.4989598035812,,-1.3128168154507875,0.0033078375,5e-05,,100000
14.595,27.699,14.595,45.0,17.0,38.0,5.01,1.91,19.98,2.93,0.0128204345703125,312.22469837665557,,-1.2911785112693905,0.0034068653,5e-05,,150000
5.791,28.795,5.791,44.0,15.0,41.0,5.06,1.684,19.8,3.03,0.0048919677734375,305.1642615318298,,-1.2702143045142293,0.002770252,5e-05,,200000
