mean_reward,std_reward,moving_avg_reward,win_rate,draw_rate,lose_rate,avg_remain,std_remain,avg_ep_len,std_ep_len,clip_fraction,value_loss,policy_loss,entropy_loss,approx_kl,learning_rate,rollout_ep_rew_mean,steps
0.037,0.006,0.037,35.0,22.0,43.0,4.86,1.849,20.45,3.09,0.06671142578125,0.0022028594179573703,,-1.5238146584481,0.009362632,7e-05,,50000
0.037,0.005,0.037,42.0,21.0,37.0,4.84,1.641,20.38,2.47,0.046759033203125,0.001035323183896253,,-1.494082485511899,0.0067275865,7e-05,,100000
0.036,0.004,0.036,48.0,18.0,34.0,4.78,1.432,20.14,2.13,0.047119140625,0.0006151066747406731,,-1.4652853760868312,0.0069160024,7e-05,,150000
0.037,0.005,0.037,37.0,17.0,46.0,4.73,1.593,20.73,2.33,0.048516845703125,0.0004126452327000152,,-1.4610179331153632,0.006823511,7e-05,,200000
