mean_reward,std_reward,moving_avg_reward,win_rate,draw_rate,lose_rate,avg_remain,std_remain,avg_ep_len,std_ep_len,clip_fraction,value_loss,policy_loss,entropy_loss,approx_kl,learning_rate,rollout_ep_rew_mean,steps
0.036,0.006,0.036,54.0,17.0,29.0,4.77,1.979,19.91,2.8,0.06229248046875,0.0021648024892783726,,-1.5078795306384563,0.008571728,7e-05,,50000
0.036,0.006,0.036,47.0,21.0,32.0,4.77,1.881,20.1,2.84,0.046282958984375,0.0010074297966639278,,-1.469482157751918,0.006760831,7e-05,,100000
0.037,0.006,0.037,47.0,22.0,31.0,4.65,1.819,20.35,2.82,0.05626220703125,0.0006138288331385411,,-1.4569119099527597,0.0069428626,7e-05,,150000
0.037,0.006,0.037,40.0,19.0,41.0,4.72,1.817,20.53,2.82,0.051055908203125,0.00042295141256545323,,-1.4223387658596038,0.006691345,7e-05,,200000
